Date,Open,High,Low,Close,Volume_From,Volume_To,Year
2019-01-01,3880.15,3989.59,3826.29,3961.01,54034.73,210854603.84,2019
2019-01-02,3961.01,3965.52,3778.76,3835.86,45585.19,176488072.06,2019
2019-01-03,3835.86,3901.65,3783.88,3874.06,44398.9,170507611.15,2019
2019-01-04,3874.06,3926.92,3841.13,3855.39,35766.65,139438510.18,2019
2019-01-05,3855.39,4145.16,3829.09,4102.85,58878.99,236298043.75,2019
2019-01-06,4102.85,4132.62,4001.35,4050.4,51541.23,209289368.14,2019
2019-01-07,4050.4,4156.16,3990.34,4040.75,65973.5,268091045.44,2019
2019-01-08,4040.75,4092.91,4013.0,4048.34,55130.13,223639028.92,2019
2019-01-09,4048.34,4085.09,3631.07,3668.15,108277.01,412522198.13,2019
2019-01-10,3668.15,3729.69,3616.41,3669.2,63070.18,231465488.1,2019
2019-01-11,3669.2,3692.12,3611.2,3664.38,28343.28,103912541.38,2019
2019-01-12,3664.38,3675.2,3528.24,3551.24,45682.73,164125048.97,2019
2019-01-13,3551.24,3748.88,3544.53,3703.9,56099.99,204793029.92,2019
2019-01-14,3703.9,3724.3,3590.49,3621.24,54154.65,198582447.53,2019
2019-01-15,3621.24,3704.37,3611.38,3643.99,53843.55,196211595.54,2019
2019-01-16,3643.99,3695.28,3586.92,3685.3,46181.32,168287506.1,2019
2019-01-17,3685.3,3685.39,3620.44,3648.05,32418.99,118317804.97,2019
2019-01-18,3648.05,3799.62,3643.01,3729.78,38341.35,143238228.4,2019
2019-01-19,3729.78,3754.65,3529.25,3567.73,49198.37,177628515.93,2019
2019-01-20,3567.73,3599.83,3535.19,3571.92,36101.4,129000924.6,2019
2019-01-21,3571.92,3635.69,3473.77,3602.04,53586.91,191355241.84,2019
2019-01-22,3602.04,3631.15,3543.96,3572.05,37910.4,135864247.56,2019
2019-01-23,3572.05,3616.33,3546.5,3598.52,31630.57,113155246.95,2019
2019-01-24,3598.52,3607.43,3539.41,3582.89,32679.69,116674680.78,2019
2019-01-25,3582.89,3676.4,3578.62,3596.5,29201.1,105927045.55,2019
2019-01-26,3596.5,3605.99,3511.29,3565.08,26261.48,93766117.67,2019
2019-01-27,3565.08,3567.56,3402.56,3453.42,59700.11,206309738.62,2019
2019-01-28,3453.42,3463.2,3369.19,3418.25,46304.1,158106687.0,2019
2019-01-29,3418.25,3488.91,3395.94,3467.21,42399.63,146422486.1,2019
2019-01-30,3467.21,3499.78,3422.83,3434.13,37365.7,128773893.15,2019
2019-01-31,3434.13,3478.55,3398.96,3461.63,41976.43,144476056.44,2019
2019-02-01,3461.63,3519.14,3441.21,3508.68,27103.48,94144187.11,2019
2019-02-02,3508.68,3514.43,3424.42,3449.62,23044.88,79591219.11,2019
2019-02-03,3449.62,3470.8,3429.21,3431.24,23959.61,82280894.52,2019
2019-02-04,3431.24,3447.88,3415.67,3447.66,24459.49,84042727.18,2019
2019-02-05,3447.66,3459.33,3362.24,3394.89,44281.79,150408587.85,2019
2019-02-06,3394.89,3406.54,3369.1,3375.33,28811.35,97390901.92,2019
2019-02-07,3375.33,3735.1,3363.32,3660.03,89444.22,317023029.42,2019
2019-02-08,3660.03,3673.71,3616.11,3652.26,25880.75,94200588.34,2019
2019-02-09,3652.26,3689.32,3611.46,3685.14,30046.26,109365095.98,2019
2019-02-10,3685.14,3688.59,3608.18,3611.34,40461.58,146354074.39,2019
2019-02-11,3611.34,3648.67,3574.22,3617.41,45717.05,164816438.53,2019
2019-02-12,3617.41,3655.89,3590.01,3605.87,40664.15,146822348.57,2019
2019-02-13,3605.87,3619.7,3567.39,3588.72,32779.35,117804856.32,2019
2019-02-14,3588.72,3640.65,3575.95,3593.49,36251.38,130398989.33,2019
2019-02-15,3593.49,3639.75,3592.04,3617.24,24003.59,86973822.79,2019
2019-02-16,3617.24,3706.17,3608.18,3670.92,36849.32,134218331.16,2019
2019-02-17,3670.92,3952.44,3661.42,3912.57,98728.99,376203280.43,2019
2019-02-18,3912.57,4010.91,3882.52,3924.24,74127.62,292137057.43,2019
2019-02-19,3924.24,3992.31,3898.91,3974.05,53048.95,209282292.49,2019
2019-02-20,3974.05,4026.54,3900.28,3937.04,47433.87,187314178.85,2019
2019-02-21,3937.04,3996.15,3917.66,3983.53,43006.55,170405341.81,2019
